,Units,People,NT dollars,MSCI world,TWII
2016/4/30,646740,494755,3339348556,1662.570619,8567.991057
2016/5/31,647841,491540,3320066240,1652.921818,8235.471029
2016/6/30,626222,482408,3220463290,1654.215636,8595.608496
2016/7/31,620540,478237,3204103712,1687.937905,8887.414713
2016/8/31,629334,479580,3270332585,1725.86587,9093.748556
2016/9/30,621588,476494,3227641830,1720.435409,9135.156576
2016/10/31,619047,473936,3180583198,1703.61181,9273.735986
2016/11/30,615909,470553,3205094427,1698.217091,9098.386852
2016/12/31,606144,466241,3149472672,1750.186955,9245.263139
2017/1/31,472237,385447,2420542262,1783.519955,9351.713684
2017/2/28,565380,443000,2877805785,1822.8119,9667.745749
2017/3/31,726704,465890,3656927171,1849.825783,9796.295686
2017/4/30,583725,453960,2965809083,1852.1406,9801.368381
2017/5/31,593932,453707,2982903791,1897.896261,9993.663086
2017/6/30,601945,456365,3089723244,1924.830455,10263.585
2017/7/31,607463,459044,3161032277,1941.610571,10425.9182
2017/8/31,622012,463680,3275836905,1951.328696,10436.34957
2017/9/30,630169,468700,3477431896,1982.077857,10506.15239
2017/10/31,643333,474808,3517669433,2024.520455,10683.85372
2017/11/30,663852,482157,3756481238,2046.638864,10743.29816
2017/12/31,664380,484758,3731479251,2086.636,10501.39709
2018/1/31,653509,464369,3571179601,2186.881435,11005.37633
2018/2/28,597582,438511,3213725613,2118.583,10717.93615
2018/3/31,699979,470224,3886027072,2101.832409,10903.1764
2018/4/30,641393,464583,3544159208,2084.858,10795.84375
2018/5/31,667097,470240,3694437883,2108.634783,10817.67676
2018/6/30,665887,472933,3752700100,2117.306143,10986.51016
2018/7/31,675458,475701,3737438784,2130.220636,10840.21547
2018/8/31,669138,476427,3747091284,2155.217261,10909.41652
2018/9/30,641850,470317,3487948652,2169.9186,10883.76526
2018/10/31,643532,463807,3496136298,2077.104522,10088.3564
2018/11/30,605452,453258,3240037933,2025.592773,9821.369496
2018/12/31,586490,444690,3109482688,1920.359619,9752.16001
2019/1/31,583881,445392,3047415147,1959.196652,9764.715216
2019/2/28,531850,416179,2751917598,2060.24665,10210.03538
2019/3/31,628426,449411,3246070415,2094.481762,10445.22109