,領先指標綜合指數(點),領先指標不含趨勢指數(點),外銷訂單動向指數(以家數計),貨幣總計數 M1B(百萬元),股價指數(Index 1966=100),工業及服務業受僱員工淨進入率(%),建築物開工樓地板面積(千平方公尺),半導體設備進口值(新台幣百萬元)
2010-01-31,83.39,106.24,34.87,10507106.0,8099.0,0.32,1331.0,28454.0
2010-02-28,83.86,106.08,66.66,10628208.0,7432.0,-0.26,1083.0,29168.0
2010-03-31,84.32,105.88,53.97,10512754.0,7775.0,0.58,1762.0,51294.0
2010-04-30,84.79,105.69,50.51,10581711.0,8052.0,0.35,1688.0,42645.0
2010-05-31,85.25,105.5,48.88,10625864.0,7526.0,0.38,1585.0,42885.0
2010-06-30,85.74,105.33,48.24,10564263.0,7383.0,0.31,1346.0,39125.0
2010-07-31,86.33,105.28,47.76,10662484.0,7639.0,0.94,1398.0,41234.0
2010-08-31,87.04,105.38,48.87,10863857.0,7884.0,0.21,1430.0,46025.0
2010-09-30,87.84,105.61,47.78,10984286.0,8040.0,0.21,2067.0,48548.0
2010-10-31,88.64,105.84,46.23,11010041.0,8210.0,0.27,1587.0,42107.0
2010-11-30,89.39,106.01,45.8,11112796.0,8350.0,0.38,2001.0,46047.0
2010-12-31,90.0,106.04,42.24,11266159.0,8777.0,0.26,2301.0,43009.0
2011-01-31,90.43,105.88,38.14,11489795.0,8971.0,0.13,1814.0,38802.0
2011-02-28,90.69,105.55,67.12,11627294.0,8743.0,-0.1,1163.0,37190.0
2011-03-31,90.81,105.07,51.98,11481607.0,8575.0,0.47,2097.0,44904.0
2011-04-30,90.77,104.44,49.97,11445860.0,8861.0,0.17,1751.0,32359.0
2011-05-31,90.61,103.7,48.74,11475670.0,8911.0,0.35,1669.0,52145.0
2011-06-30,90.3,102.81,47.64,11415910.0,8749.0,0.38,1570.0,35431.0
2011-07-31,89.85,101.79,46.7,11473352.0,8681.0,0.84,1807.0,26842.0
2011-08-31,89.27,100.67,47.4,11672465.0,7763.0,0.17,1966.0,21706.0
2011-09-30,88.69,99.57,43.56,11674272.0,7385.0,-0.02,1762.0,21243.0
2011-10-31,88.3,98.71,40.48,11573259.0,7345.0,0.15,1892.0,22867.0
2011-11-30,88.26,98.27,40.1,11581989.0,7275.0,0.18,1775.0,25450.0
2011-12-31,88.67,98.33,31.2,11661953.0,6969.0,0.14,1702.0,30241.0
2012-01-31,89.46,98.84,55.76,11933630.0,7177.0,-0.07,1378.0,24948.0
2012-02-29,90.23,99.33,58.6,11957169.0,7856.0,0.03,1719.0,24713.0
2012-03-31,90.77,99.58,50.99,11879831.0,8020.0,0.2,1762.0,30932.0
2012-04-30,91.09,99.6,49.2,11877381.0,7621.0,0.06,2025.0,33398.0
2012-05-31,91.26,99.46,46.8,11847406.0,7357.0,0.19,1915.0,37874.0
2012-06-30,91.33,99.23,46.25,11779452.0,7143.0,0.18,1853.0,45036.0
2012-07-31,91.35,98.96,45.48,11804006.0,7187.0,0.52,2384.0,37756.0
2012-08-31,91.4,98.71,45.1,11991185.0,7410.0,0.16,1425.0,35250.0
2012-09-30,91.55,98.6,44.43,12065210.0,7610.0,0.03,1961.0,26667.0
2012-10-31,91.83,98.62,42.39,11985949.0,7438.0,0.09,1989.0,24470.0
2012-11-30,92.29,98.85,42.17,12005063.0,7256.0,0.11,2264.0,24500.0
2012-12-31,92.93,99.27,42.3,12234362.0,7631.0,0.19,2331.0,33964.0
2013-01-31,93.66,99.79,33.23,12407945.0,7759.0,0.11,1971.0,34408.0
2013-02-28,94.43,100.36,67.36,12634244.0,7933.0,-0.24,1082.0,30611.0
2013-03-31,95.17,100.89,53.49,12595646.0,7907.0,0.21,1912.0,40634.0
2013-04-30,95.82,101.33,51.2,12556675.0,7893.0,0.08,2829.0,28399.0
2013-05-31,96.31,101.6,48.24,12681028.0,8272.0,0.15,2143.0,50238.0
2013-06-30,96.66,101.73,48.54,12709184.0,7989.0,0.15,1918.0,41909.0
2013-07-31,96.93,101.78,48.23,12822892.0,8102.0,0.73,2492.0,26355.0
2013-08-31,97.17,101.78,47.65,12988059.0,7932.0,0.21,1770.0,26764.0
2013-09-30,97.49,101.89,48.36,13036629.0,8193.0,0.09,1602.0,36232.0
2013-10-31,97.97,102.15,44.79,13014770.0,8366.0,0.21,2584.0,30195.0
2013-11-30,98.58,102.56,45.25,13068044.0,8237.0,0.29,2355.0,36019.0
2013-12-31,99.28,103.07,42.15,13274088.0,8431.0,0.11,2225.0,55959.0
2014-01-31,100.02,103.62,44.39,13639696.0,8567.0,0.09,2605.0,30159.0
2014-02-28,100.62,104.02,63.24,13723996.0,8496.0,-0.04,1776.0,34561.0
2014-03-31,101.07,104.28,53.2,13712635.0,8687.0,0.22,2687.0,50377.0
2014-04-30,101.37,104.38,51.85,13699653.0,8900.0,0.21,2599.0,42310.0
2014-05-31,101.51,104.33,50.27,13713754.0,8936.0,0.23,2917.0,29343.0
2014-06-30,101.48,104.11,50.09,13657227.0,9229.0,0.2,1848.0,39204.0
2014-07-31,101.37,103.81,50.34,13804385.0,9474.0,0.8,2606.0,38427.0
2014-08-31,101.14,103.4,51.07,13970453.0,9266.0,0.27,1978.0,28475.0
2014-09-30,100.82,102.91,49.29,13996471.0,9229.0,,1991.0,33795.0
2014-10-31,100.52,102.44,46.21,13948695.0,8819.0,0.17,2018.0,27114.0
2014-11-30,100.33,102.11,45.78,13976530.0,9016.0,0.18,2119.0,28931.0
2014-12-31,100.27,101.9,44.97,14189364.0,9109.0,0.13,2544.0,32966.0
2015-01-31,100.22,101.71,31.97,14326278.0,9282.0,0.19,2206.0,27972.0
2015-02-28,100.11,101.46,66.81,14564263.0,9506.0,-0.29,1694.0,24837.0
2015-03-31,99.92,101.14,54.05,14517099.0,9611.0,0.31,2154.0,33239.0
2015-04-30,99.77,100.87,49.82,14501393.0,9680.0,0.07,1831.0,31087.0
2015-05-31,99.68,100.65,50.07,14561211.0,9689.0,0.18,1418.0,28250.0
2015-06-30,99.59,100.43,48.55,14488540.0,9355.0,0.12,2404.0,45531.0
2015-07-31,99.43,100.14,46.13,14586258.0,8964.0,0.64,1728.0,46409.0
2015-08-31,99.25,99.82,46.92,14789586.0,8156.0,0.13,1780.0,38553.0
2015-09-30,99.07,99.5,46.83,14923309.0,8206.0,-0.09,1450.0,33794.0
2015-10-31,98.93,99.22,44.55,14890569.0,8551.0,0.09,1877.0,36797.0
2015-11-30,98.84,98.98,44.88,14917407.0,8503.0,0.16,1522.0,38286.0
2015-12-31,98.84,98.82,42.89,15093681.0,8298.0,0.13,1792.0,36498.0
2016-01-31,98.96,98.77,30.89,15317647.0,7871.0,0.1,2144.0,38621.0
2016-02-29,99.21,98.84,64.65,15453965.0,8247.0,-0.2,906.0,26835.0
2016-03-31,99.61,99.05,51.35,15411180.0,8688.0,0.1,1983.0,32923.0
2016-04-30,100.13,99.36,49.61,15415157.0,8568.0,0.05,1399.0,30181.0
2016-05-31,100.75,99.77,50.45,15479035.0,8235.0,0.1,1450.0,53272.0
2016-06-30,101.45,100.24,48.59,15391712.0,8595.0,0.12,1512.0,47092.0
2016-07-31,102.2,100.75,49.89,15496601.0,8900.0,0.53,1249.0,56302.0
2016-08-31,102.93,101.23,49.47,15747945.0,9094.0,0.16,1237.0,54349.0
2016-09-30,103.59,101.63,49.58,15872722.0,9131.0,-0.04,1210.0,49447.0
2016-10-31,104.14,101.9,49.93,15835378.0,9274.0,0.13,1454.0,65389.0
2016-11-30,104.54,102.03,47.05,15895721.0,9098.0,0.22,1401.0,50358.0
2016-12-31,104.87,102.09,38.11,16001058.0,9245.0,0.16,1832.0,58365.0
2017-01-31,105.2,102.14,46.6,16244054.0,9352.0,0.08,1206.0,52381.0
2017-02-28,105.48,102.14,63.04,16238168.0,9674.0,-0.09,906.0,42618.0
2017-03-31,105.71,102.08,50.33,16114960.0,9796.0,0.2,2067.0,46911.0
2017-04-30,105.91,102.0,52.26,16064145.0,9801.0,0.1,1319.0,51271.0
2017-05-31,106.17,101.97,50.57,16088751.0,9994.0,0.12,1700.0,43262.0
2017-06-30,106.49,101.99,48.62,16074104.0,10259.0,0.2,2066.0,32485.0
2017-07-31,106.82,102.03,50.79,16265513.0,10426.0,0.63,1683.0,27883.0
2017-08-31,107.16,102.08,50.19,16552266.0,10436.0,0.13,1987.0,27889.0
2017-09-30,107.49,102.13,48.34,16589043.0,10501.0,-0.04,1506.0,38685.0
2017-10-31,107.84,102.19,48.66,16564701.0,10684.0,0.11,1594.0,47290.0
2017-11-30,108.17,102.23,48.17,16594359.0,10743.0,0.22,1808.0,34168.0
2017-12-31,108.41,102.2,46.5,16645671.0,10501.0,0.11,2196.0,43862.0
2018-01-31,108.56,102.08,31.32,16748718.0,11005.0,0.13,1848.0,42259.0
2018-02-28,108.68,101.95,67.84,17075537.0,10718.0,-0.33,1035.0,31871.0
2018-03-31,108.88,101.89,50.97,16994742.0,10904.0,0.14,1788.0,40575.0
2018-04-30,109.22,101.97,53.86,16963770.0,10796.0,0.02,1800.0,33230.0
2018-05-31,109.56,102.05,50.92,17110043.0,10818.0,0.09,2592.0,35833.0
2018-06-30,109.75,102.0,50.37,17022644.0,10987.0,0.06,2138.0,30449.0
2018-07-31,109.73,101.76,49.73,17201629.0,10840.0,0.64,2207.0,42447.0
2018-08-31,109.52,101.36,48.81,17414867.0,10909.0,0.1,1736.0,49238.0
2018-09-30,109.22,100.86,47.75,17454864.0,10884.0,-0.1,2102.0,46900.0
2018-10-31,108.92,100.38,45.42,17444488.0,10088.0,0.14,1857.0,41215.0
2018-11-30,108.78,100.05,44.66,17438972.0,9821.0,0.17,2149.0,28834.0
2018-12-31,108.94,99.99,43.53,17592801.0,9747.0,0.1,1974.0,44354.0
2019-01-31,109.47,100.27,31.67,17845836.0,9765.0,0.11,1999.0,51315.0
2019-02-28,110.33,100.86,67.14,18095040.0,10210.0,-0.27,1323.0,40214.0
2019-03-31,111.34,101.58,51.59,18162075.0,10445.0,0.11,1982.0,78319.0
