,Units,People,NT dollars
2016/4/30,646740,494755,3339348556
2016/5/31,647841,491540,3320066240
2016/6/30,626222,482408,3220463290
2016/7/31,620540,478237,3204103712
2016/8/31,629334,479580,3270332585
2016/9/30,621588,476494,3227641830
2016/10/31,619047,473936,3180583198
2016/11/30,615909,470553,3205094427
2016/12/31,606144,466241,3149472672
2017/1/31,472237,385447,2420542262
2017/2/28,565380,443000,2877805785
2017/3/31,726704,465890,3656927171
2017/4/30,583725,453960,2965809083
2017/5/31,593932,453707,2982903791
2017/6/30,601945,456365,3089723244
2017/7/31,607463,459044,3161032277
2017/8/31,622012,463680,3275836905
2017/9/30,630169,468700,3477431896
2017/10/31,643333,474808,3517669433
2017/11/30,663852,482157,3756481238
2017/12/31,664380,484758,3731479251
2018/1/31,653509,464369,3571179601
2018/2/28,597582,438511,3213725613
2018/3/31,699979,470224,3886027072
2018/4/30,641393,464583,3544159208
2018/5/31,667097,470240,3694437883
2018/6/30,665887,472933,3752700100
2018/7/31,675458,475701,3737438784
2018/8/31,669138,476427,3747091284
2018/9/30,641850,470317,3487948652
2018/10/31,643532,463807,3496136298
2018/11/30,605452,453258,3240037933
2018/12/31,586490,444690,3109482688
2019/1/31,583881,445392,3047415147
2019/2/28,531850,416179,2751917598
2019/3/31,628426,449411,3246070415