Date,合計,外資,投信,自營商
2004-04-30,-2240529286.4444447,-1196608096.3333333,-134825166.8888889,-909096023.2222222
2004-05-31,-3746957391.6190476,-3431782552.3809524,-178423594.66666666,-136751244.57142857
2004-06-30,-346822716.28571427,259964094.95238096,150409012.76190478,-757195824.0
2004-07-31,-923260507.8181819,-458050183.72727275,-161690466.13636363,-303519857.95454544
2004-08-31,3653839002.65,2874140383.2,722629021.65,57069597.8
2004-09-30,1974516917.3333333,1563099219.4761906,405399278.9047619,6018418.952380952
2004-10-31,2010747545.8,2349087166.05,-316474597.5,-21865022.75
2004-11-30,5371031001.636364,5204485887.181818,63626547.40909091,102918567.04545455
2004-12-31,1425428243.4782608,757032439.9565217,137130504.7826087,531265298.73913044
2005-01-31,-684559480.4,-457010531.3,-120275859.7,-107273089.4
2005-02-28,7172346992.9,8046449432.6,-911372916.6,37270476.9
2005-03-31,-1693077110.7826087,-1291966628.7391305,-409921096.26086956,8810614.217391305
2005-04-30,-1333949041.05,-1235454513.05,-28472397.2,-70022130.8
2005-05-31,5371586980.285714,6027252076.571428,-510913117.8095238,-144751978.47619048
2005-06-30,6147054600.5,5975886456.772727,-572687547.7727273,743855691.5
2005-07-31,-379056346.625,610891629.9375,-547561823.9375,-442386152.625
2005-08-31,-1266967140.8181818,-395599676.59090906,-615463966.7272727,-255903497.5
2005-09-30,-124313926.33333333,-506656484.52380955,659896411.0952381,-277553852.9047619
2005-10-31,-1974792205.65,-1541961861.6,-117101354.5,-315728989.55
2005-11-30,8042659256.590909,8167429584.590909,-408481431.95454544,283711103.95454544
2005-12-31,10532726088.90909,10849863261.454546,-999861261.0909091,682746237.8636364
2006-01-31,971995595.0555556,2103608191.2777777,-878995472.7777778,-252617123.44444445
2006-02-28,2851179168.352941,3884346128.2352943,-774034590.2352941,-259132369.6470588
2006-03-31,-791476232.173913,-306835731.9130435,-463587171.5217391,-21053328.739130434
2006-04-30,8951090420.210526,8953703486.263159,-622511506.1578947,619898440.1052631
2006-05-31,-2224773011.3809524,-1434229863.4761906,-7327522.761904762,-783215625.1428572
2006-06-30,-2327109087.5,-2102892366.9545455,166388070.13636363,-390604790.6818182
2006-07-31,-1256541674.7619047,-1375919721.6666667,-27798190.61904762,147176237.52380952
2006-08-31,3603750617.7391305,3199270537.9130435,68567832.13043478,335912247.6956522
2006-09-30,3762894591.428571,3750599804.7619047,-277252520.0,289547306.6666667
2006-10-31,2735645243.95,2904609755.4,-136713156.9,-32251354.55
2006-11-30,5622322535.954545,5152538724.136364,-300778.36363636365,470084590.1818182
2006-12-31,3662550310.3333335,3458226047.857143,60990256.666666664,143334005.80952382
2007-01-31,801861342.4545455,862731605.1818181,-5778312.590909091,-55091950.13636363
2007-02-28,3955355660.4166665,3172692540.3333335,618014392.5,164648727.58333334
2007-03-31,-4867395510.173913,-4390432528.130435,-420696831.34782606,-56266150.69565217
2007-04-30,3607854763.35,3907271137.6,-147151867.4,-152264506.85
2007-05-31,2620416032.5454545,1984655767.3181818,166294206.3181818,469466058.90909094
2007-06-30,9892903108.85,9258652039.7,689946494.15,-55695425.0
2007-07-31,2408468180.2272725,-420826670.04545456,2657721452.2272725,171573398.04545453
2007-08-31,-5741250691.130435,-7452740873.043478,1735791900.0434783,-24301718.13043478
2007-09-30,4118706393.357143,2607578997.571429,1323933787.857143,187193607.92857143
2007-10-31,1333298836.631579,857953482.8421053,320265792.3684211,155079561.42105263
2007-11-30,-7596132696.590909,-6792025480.772727,-250473111.0909091,-553634104.7272727
2007-12-31,310109306.8125,282601852.4375,121072042.8125,-93564588.4375
2008-01-31,-1663814423.8181818,-1564489704.090909,-203435367.72727272,104110648.0
2008-02-29,8501747543.142858,7022078996.142858,616777921.1428572,862890625.8571428
2008-03-31,2534258583.5625,1654050636.5,551236907.25,328971039.8125
2008-04-30,212531190.23809522,-1395195655.6666667,731909560.4285715,875817285.4761904
2008-05-31,599735840.0952381,656054377.9523809,237235049.0,-293553586.85714287
2008-06-30,-6010619625.047619,-5518114224.142858,11799527.333333334,-504304928.2380952
2008-07-31,-4291534693.8636365,-4983157503.045455,291037428.8636364,400585380.3181818
2008-08-31,-683254109.0952381,-1421646640.9047618,515067735.04761904,223324796.76190478
2008-09-30,-5248911779.8125,-5074552101.875,-5969657.1875,-168390020.75
2008-10-31,-5573308248.3529415,-5188063344.823529,-481323886.0588235,96078982.52941176
2008-11-30,-2853441151.05,-2787212768.55,-235502156.1,169273773.6
2008-12-31,1513487239.5217392,703059629.7826087,601197781.2608696,209229828.47826087
2009-01-31,-3510324730.133333,-3461050879.5333333,-166507876.33333334,117234025.73333333
2009-02-28,-615445316.15,-748423174.95,57119631.5,75858227.3
2009-03-31,555397054.4545455,607777700.4090909,-112778977.04545455,60398331.09090909
2009-04-30,4605589736.227273,4715506649.727273,-197154956.8181818,87238043.31818181
2009-05-31,3964459795.2777777,3534927375.5555553,293556700.3333333,135975719.3888889
2009-06-30,290639457.04347825,951966027.6521739,-350937227.0869565,-310389343.5217391
2009-07-31,4093228240.173913,3675406936.7826085,-59069526.86956522,476890830.26086956
2009-08-31,307714292.8,467700480.25,140581910.3,-300568097.75
2009-09-30,9590569239.705883,8865578437.588236,389703568.35294116,335287233.7647059
2009-10-31,-1210673880.909091,-543389590.2272727,-410725909.09090906,-256558381.5909091
2009-11-30,1117487160.9047618,1039988087.6190476,-18359989.285714287,95859062.57142857
2009-12-31,3985955035.130435,4280493098.9565215,-548990681.9565217,254452618.13043478
2010-01-31,-1009316729.15,202543599.1,-702609309.4,-509251018.85
2010-02-28,-6744582507.285714,-6447326684.428572,24473656.14285714,-321729479.0
2010-03-31,5704714939.869565,4917723051.347826,77004746.17391305,709987142.3478261
2010-04-30,4082638930.866667,5385115076.466666,-841931211.5333333,-460544934.06666666
2010-05-31,-7138747980.047619,-6059365842.142858,-461153012.4285714,-618229125.4761904
2010-06-30,-707183845.1904762,-591923422.5714285,-251788138.7142857,136527716.0952381
2010-07-31,3529477426.909091,2880367971.9545455,308174187.45454544,340935267.5
2010-08-31,-2636383391.5,-2100997237.1818182,-420985769.27272725,-114400385.04545455
2010-09-30,4111551280.571429,3760113017.1904764,-206645469.66666666,558083733.0476191
2010-10-31,1554840033.1904762,1922452855.857143,-300000300.61904764,-67612522.04761904
2010-11-30,2323038375.2727275,2446027142.3636365,-205915335.22727272,82926568.13636364
2010-12-31,3679164917.95,3807806106.3,-347663630.3,219022441.95
2011-01-31,4234830335.65,4967233535.25,-386586406.0,-345816793.6
2011-02-28,-8339757280.714286,-6936946452.0,-423485628.4285714,-979325200.2857143
2011-03-31,-1676280792.3913043,-1570082405.2608695,29266162.913043477,-135464550.04347825
2011-04-30,5071524354.526316,5110269683.947369,-252998997.10526314,214253667.68421054
2011-05-31,-848612830.0476191,-869005683.9047619,25211923.61904762,-4819069.761904762
2011-06-30,-1182112303.952381,-1035340851.3809524,258663615.80952382,-405435068.38095236
2011-07-31,-1596622476.5882354,-2560216148.5882354,597351165.8235294,366242506.1764706
2011-08-31,-3562417269.733333,-3688586694.8,393543032.0,-267373606.93333334
2011-09-30,-3961555053.6190476,-3746662373.142857,141660552.14285713,-356553232.61904764
2011-10-31,2852295974.8,2565190874.1,208999354.4,78105746.3
2011-11-30,-1854830959.0588236,-1698941384.235294,14652670.294117646,-170542245.11764705
2011-12-31,2261928484.2941175,2015076829.235294,103413713.0,143437942.05882353
2012-01-31,3256236429.4666667,3421215470.133333,-473629160.53333336,308650119.8666667
2012-02-29,3350331920.8,3173479073.15,-259795134.4,436647982.05
2012-03-31,817086405.1304348,1405208825.9130435,-239826800.82608697,-348295619.95652175
2012-04-30,-1938303209.85,-1560919946.95,-80267049.3,-297116213.6
2012-05-31,-5169702247.090909,-5128415427.045455,30971993.454545453,-72258813.5
2012-06-30,-921638613.3333334,-1248385062.8095238,128257035.09523809,198489414.3809524
2012-07-31,-1548357366.8636363,-2137555999.3181818,427463336.54545456,161735295.9090909
2012-08-31,2664362917.1875,2637543900.5,206547323.6875,-179728307.0
2012-09-30,2878348509.1,2934441829.0,-167780170.4,111686850.5
2012-10-31,-2036518513.909091,-1303477926.0454545,-123829117.22727273,-609211470.6363636
2012-11-30,2192332497.5,1943480846.090909,105026398.31818181,143825253.0909091
2012-12-31,1880296760.1904762,2357716243.142857,-530179054.5714286,52759571.61904762
2013-01-31,407708904.27272725,741089748.6363636,-361286810.04545456,27905965.681818184
2013-02-28,2262815732.1538463,2246517330.3846154,-351109668.7692308,367408070.53846157
2013-03-31,-2148191688.1904764,-1470499649.4761906,-482124958.71428573,-195567080.0
2013-04-30,1297028702.2,1475777276.15,-383801173.8,205052599.85
2013-05-31,1957450531.2272727,2651692889.818182,-756943656.4090909,62701297.81818182
2013-06-30,-7326193484.947369,-6184154545.578947,-527957541.94736844,-614081397.4210526
2013-07-31,4177082062.826087,3581604128.695652,-106599825.17391305,702077759.3043479
2013-08-31,-2471713597.285714,-2177558650.428571,36396937.14285714,-330551884.0
2013-09-30,5624815838.55,6049758059.15,-298573875.1,-126368345.5
2013-10-31,3212109609.818182,3391735490.0,-225482296.04545453,45856415.86363637
2013-11-30,-877929121.7142857,-1009285645.5714285,-75943254.76190476,207299778.6190476
2013-12-31,1949675474.0,2136408177.409091,-248292831.77272728,61560128.36363637
2014-01-31,1125652532.3076923,1448061509.0769231,-219480379.15384614,-102928597.61538461
2014-02-28,-1059174308.882353,-953403300.117647,-338504046.0,232733037.2352941
2014-03-31,3114385670.4761906,3431058102.714286,-431968227.95238096,115295795.71428572
2014-04-30,3701373377.3333335,4269580367.5238094,-492704944.47619045,-75502045.71428572
2014-05-31,1714475039.7619047,1602395653.0952382,-130328404.76190476,242407791.42857143
2014-06-30,3429292823.0,3967718574.0,-508842424.6875,-29583326.3125
2014-07-31,1012580978.6,1110855889.4666667,-155286510.2,57011599.333333336
2014-08-31,2455056165.904762,2222070029.1904764,289592079.95238096,-56605943.23809524
2014-09-30,-3703811317.4761906,-2808567241.857143,44756430.38095238,-940000506.0
2014-10-31,-176473424.45454547,-51334203.40909091,160874726.77272728,-286013947.8181818
2014-11-30,5217652432.3,4790506087.45,83408372.9,343737971.95
2014-12-31,-3558044769.6666665,-3073738545.1666665,-431762190.5,-52544034.0
2015-01-31,3019003380.95,3209317694.7,-27628145.1,-162686168.65
2015-02-28,7109860665.538462,7427131845.846154,-101470617.84615384,-215800562.46153846
2015-03-31,-2337125976.590909,-1947588869.1363637,-645381672.6363636,255844565.1818182
2015-04-30,5437329728.75,5010243103.25,-265924718.4,693011343.9
2015-05-31,1279525907.8,1556541168.55,-82558902.6,-194456358.15
2015-06-30,-4929615462.0,-4034956149.0,-144463488.19047618,-750195824.8095238
2015-07-31,-3332037292.590909,-2303392109.9545455,158289838.54545453,-1186935021.1818182
2015-08-31,-3314993678.857143,-2717482466.6666665,85326814.42857143,-682838026.6190476
2015-09-30,-711239907.35,-310204959.65,-239157040.65,-161877907.05
2015-10-31,3041681136.0,3157977709.904762,72496799.95238096,-188793373.85714287
2015-11-30,-2688010604.714286,-2055903209.7142856,-284618783.47619045,-347488611.52380955
2015-12-31,-1215525984.0869565,-1194108582.7391305,-220551862.2173913,199134460.86956522
2016-01-31,-3509312353.8095236,-2832507926.142857,-50757130.0952381,-626047297.5714285
2016-02-29,2995325010.1538463,3889081908.0,-132989997.46153846,-760766900.3846154
2016-03-31,5870468775.434783,6959357307.565217,-298383172.26086956,-790505359.8695652
2016-04-30,279214889.2631579,829259626.3157895,-286194733.2105263,-263850003.84210527
2016-05-31,-2821003284.7619047,-3520436013.571429,85857791.09523809,613574937.7142857
2016-06-30,2844556980.8095236,3911183048.952381,-111215819.57142857,-955410248.5714285
2016-07-31,7919726672.75,8384259874.0,5621167.8,-470154369.05
2016-08-31,2280605419.3913045,3088445355.869565,-252029141.39130434,-555810795.0869565
2016-09-30,-804276331.3157895,130762286.89473684,-19214484.63157895,-915824133.5789474
2016-10-31,45723800.55,-92955284.65,15279912.85,123399172.35
2016-11-30,-3895269784.590909,-4372521006.818182,66994100.63636363,410257121.59090906
2016-12-31,-145359176.1818182,88315510.95454545,4673.045454545455,-233679360.1818182
2017-01-31,2766499166.6875,2874970824.5,189969936.875,-298441594.6875
2017-02-28,2966671508.3333335,2738854135.111111,-115098749.16666667,342916122.3888889
2017-03-31,2739526351.478261,3059061024.4347825,-148744848.6956522,-170789824.26086956
2017-04-30,1559944435.7777777,1783470473.0,-294559292.6666667,71033255.44444445
2017-05-31,2965743339.65,2490307425.8,51744486.6,423691427.25
2017-06-30,2837243575.9444447,2216614907.111111,-339901245.9444444,960529914.7777778
2017-07-31,-515311357.85714287,-249220713.76190478,-407636731.85714287,141546087.76190478
2017-08-31,-672150403.2173913,-278190834.26086956,-60164843.91304348,-333794725.04347825
2017-09-30,-3471398191.6363635,-2819610988.2727275,-248617553.22727272,-403169650.1363636
2017-10-31,2987683379.0526314,2321730615.0526314,89677114.21052632,576275649.7894737
2017-11-30,-2176204327.681818,-2157245782.409091,-200887323.5,181928778.22727272
2017-12-31,-2315371678.904762,-1620378780.2380953,-17140175.285714287,-677852723.3809524
2018-01-31,4165268439.681818,3442751454.2727275,-57556095.90909091,780073081.3181819
2018-02-28,-8361756427.538462,-7641590192.230769,138384731.23076922,-858550966.5384616
2018-03-31,-3127683532.2173915,-1953949134.652174,-222463931.6956522,-951270465.8695652
2018-04-30,-3721933190.923077,-3038014211.5384617,172078991.46153846,-855997970.8461539
2018-05-31,-3098131128.9411764,-2458393869.9411764,-136901327.52941176,-502835931.4705882
2018-06-30,-4063801260.65,-4166541823.55,-3348024.65,106088587.55
2018-07-31,532345340.72727275,371594277.8636364,218426217.3181818,-57675154.45454545
2018-08-31,797275012.826087,1418691323.347826,401036318.6956522,-1022452629.2173913
2018-09-30,3330530238.736842,3468643375.368421,-45986269.315789476,-92126867.31578948
2018-10-31,-7404311330.727273,-6496380850.0,-350827064.77272725,-557103415.9545455
2018-11-30,108600356.27272727,471595550.59090906,51609972.13636363,-414605166.45454544
2018-12-31,-4040796979.142857,-3187553689.571429,-23687817.666666668,-829555471.9047619
2019-01-31,2863635764.5238094,1759856800.8095238,112074591.61904761,991704372.0952381
2019-02-28,5748197848.923077,4978684862.307693,-144619902.84615386,914132889.4615384
2019-03-31,343777272.8,84229731.7,22487093.15,237060447.95
2019-04-30,3816503341.8333335,3040764900.611111,-164216754.33333334,939955195.5555556
