,Units,People,NT dollars,MSCI world,TWII,貨幣總計數 M1B(百萬元),建築物開工樓地板面積(千平方公尺),合計買賣超,外資買賣超,融資(交易單位),融資金額(仟元)
2016/4/30,646740,494755,3339348556,1662.570619,8567.991057,15415157,1399,279214889.3,829259626.3,8876586.105,138442528.9
2016/5/31,647841,491540,3320066240,1652.921818,8235.471029,15479035,1450,-2821003285,-3520436014,8586331.353,132159722.5
2016/6/30,626222,482408,3220463290,1654.215636,8595.608496,15391712,1512,2844556981,3911183049,8542426.444,129805425.2
2016/7/31,620540,478237,3204103712,1687.937905,8887.414713,15496601,1249,7919726673,8384259874,8547257.05,130862027.2
2016/8/31,629334,479580,3270332585,1725.86587,9093.748556,15747945,1237,2280605419,3088445356,8680371.348,134022997.9
2016/9/30,621588,476494,3227641830,1720.435409,9135.156576,15872722,1210,-804276331.3,130762286.9,8719691.824,134287910.8
2016/10/31,619047,473936,3180583198,1703.61181,9273.735986,15835378,1454,45723800.55,-92955284.65,8604793.882,131427298.1
2016/11/30,615909,470553,3205094427,1698.217091,9098.386852,15895721,1401,-3895269785,-4372521007,8376079,127037267.7
2016/12/31,606144,466241,3149472672,1750.186955,9245.263139,16001058,1832,-145359176.2,88315510.95,8664526.455,131300687.1
2017/1/31,472237,385447,2420542262,1783.519955,9351.713684,16244054,1206,2766499167,2874970825,8566515.063,131275087.4
2017/2/28,565380,443000,2877805785,1822.8119,9667.745749,16238168,906,2966671508,2738854135,8742851.833,135259704.4
2017/3/31,726704,465890,3656927171,1849.825783,9796.295686,16114960,2067,2739526351,3059061024,8906686.13,142121310.8
2017/4/30,583725,453960,2965809083,1852.1406,9801.368381,16064145,1319,1559944436,1783470473,8855129.722,143485952.2
2017/5/31,593932,453707,2982903791,1897.896261,9993.663086,16088751,1700,2965743340,2490307426,8709013.45,141862796
2017/6/30,601945,456365,3089723244,1924.830455,10263.585,16074104,2066,2837243576,2216614907,8640902.261,143361960.9
2017/7/31,607463,459044,3161032277,1941.610571,10425.9182,16265513,1683,-515311357.9,-249220713.8,8664415.143,145936940.4
2017/8/31,622012,463680,3275836905,1951.328696,10436.34957,16552266,1987,-672150403.2,-278190834.3,8696838.652,149327702.3
2017/9/30,630169,468700,3477431896,1982.077857,10506.15239,16589043,1506,-3471398192,-2819610988,9063651.5,161810513.4
2017/10/31,643333,474808,3517669433,2024.520455,10683.85372,16564701,1594,2987683379,2321730615,9076631.158,165620874.1
2017/11/30,663852,482157,3756481238,2046.638864,10743.29816,16594359,1808,-2176204328,-2157245782,9200718.5,169309075.5
2017/12/31,664380,484758,3731479251,2086.636,10501.39709,16645671,2196,-2315371679,-1620378780,9458990.81,173123839.7
2018/1/31,653509,464369,3571179601,2186.881435,11005.37633,16748718,1848,4165268440,3442751454,9509211.273,175196643.8
2018/2/28,597582,438511,3213725613,2118.583,10717.93615,17075537,1035,-8361756428,-7641590192,8916793.154,166822403.3
2018/3/31,699979,470224,3886027072,2101.832409,10903.1764,16994742,1788,-3127683532,-1953949135,9040855.435,169660777.4
2018/4/30,641393,464583,3544159208,2084.858,10795.84375,16963770,1800,-3721933191,-3038014212,9120342.083,175426524.9
2018/5/31,667097,470240,3694437883,2108.634783,10817.67676,17110043,2592,-3098131129,-2458393870,9154493.5,177768792.9
2018/6/30,665887,472933,3752700100,2117.306143,10986.51016,17022644,2138,-4063801261,-4166541824,9375673.9,188893698.8
2018/7/31,675458,475701,3737438784,2130.220636,10840.21547,17201629,2207,532345340.7,371594277.9,9066825.545,184584120.1
2018/8/31,669138,476427,3747091284,2155.217261,10909.41652,17414867,1736,797275012.8,1418691323,8877768.043,177732425.3
2018/9/30,641850,470317,3487948652,2169.9186,10883.76526,17454864,2102,3330530239,3468643375,8471567.579,163735297.8
2018/10/31,643532,463807,3496136298,2077.104522,10088.3564,17444488,1857,-7404311331,-6496380850,7630277.727,139585100.6
2018/11/30,605452,453258,3240037933,2025.592773,9821.369496,17438972,2149,108600356.3,471595550.6,7240633.545,124826393.8
2018/12/31,586490,444690,3109482688,1920.359619,9752.16001,17592801,1974,-4040796979,-3187553690,7411718.476,127887240.6
2019/1/31,583881,445392,3047415147,1959.196652,9764.715216,17845836,1999,2863635765,1759856801,7186905.286,123704059.8
2019/2/28,531850,416179,2751917598,2060.24665,10210.03538,18095040,1323,5748197849,4978684862,6988050.923,120514047.4
2019/3/31,628426,449411,3246070415,2094.481762,10445.22109,18162075,1982,343777272.8,84229731.7,7206640.45,126097789.6